['26723.86'],['21842360.0'],['0.08600499']
['36886.87'],['25364942.0'],['0.102905184']
['40647.355'],['21731364.0'],['0.094963506']
['38109.453'],['22738248.0'],['0.10035539']
['34950.76'],['22479416.0'],['0.0991262']
['36141.297'],['23912978.0'],['0.10326602']
['39814.125'],['20874458.0'],['0.09785796']
['40793.137'],['18707646.0'],['0.09121804']
['39957.066'],['22821390.0'],['0.09704251']
['35248.566'],['19473914.0'],['0.091482036']
['37225.984'],['13838107.0'],['0.06820927']
['39516.234'],['15937876.0'],['0.07721365']
['36434.543'],['16971192.0'],['0.075047635']
['34848.91'],['13812604.0'],['0.06591054']
['33455.992'],['10999215.0'],['0.051722184']
['34376.77'],['17643466.0'],['0.07156255']
['32652.297'],['9898625.0'],['0.05376145']
['30158.771'],['16788446.0'],['0.07701146']
['35755.22'],['15158715.0'],['0.072454855']
['36785.715'],['12285737.0'],['0.059470814']
['33611.363'],['13101584.0'],['0.051722184']
['30902.098'],['18126072.0'],['0.05490615']
['30417.447'],['6449529.5'],['0.03494289']
['28331.936'],['6449529.5'],['15486207.0']
