['15659.335'],['16975942.0'],['0.059138104']
['34907.105'],['22508988.0'],['0.06345944']
['27926.18'],['19405240.0'],['0.061677694']
['26338.613'],['17865458.0'],['0.05593201']
['23794.744'],['20397232.0'],['0.060476616']
['22896.834'],['19658982.0'],['0.062341195']
['25402.65'],['22108350.0'],['0.06665072']
['37048.816'],['21190146.0'],['0.066455245']
['26126.174'],['19509530.0'],['0.061385006']
['25448.652'],['18879562.0'],['0.06191777']
['28113.621'],['19331896.0'],['0.06057981']
['34898.316'],['20153650.0'],['0.05618463']
['29230.936'],['17781658.0'],['0.057530377']
['25039.572'],['17399952.0'],['0.05662081']
['25539.666'],['15875829.0'],['0.050272774']
['28892.035'],['18901956.0'],['0.05429688']
['28386.252'],['22207690.0'],['0.06905294']
['32480.496'],['22499126.0'],['0.06530065']
['37809.676'],['19464746.0'],['0.05782602']
['32000.564'],['18753518.0'],['0.055995397']
['28744.453'],['15715158.0'],['0.048630837']
['30318.9'],['18402246.0'],['0.05874705']
['28869.771'],['17626628.0'],['0.053338267']
['26606.396'],['17626628.0'],['11894968.0']
