['16809.246'],['9075076.0'],['0.03032384']
['17822.05'],['7342579.0'],['0.028361535']
['15653.577'],['7849850.0'],['0.03055038']
['16355.984'],['7370970.0'],['0.028361535']
['15326.084'],['7613346.0'],['0.028289938']
['15347.825'],['7648436.5'],['0.029465793']
['16012.524'],['7499964.0'],['0.029639134']
['15662.792'],['7728290.0'],['0.029860534']
['16438.463'],['7981827.0'],['0.032133248']
['17306.059'],['8142664.5'],['0.03171436']
['16577.115'],['8083185.5'],['0.032065403']
['16996.637'],['8982158.0'],['0.03224271']
['15770.073'],['7749264.5'],['0.029806217']
['16027.075'],['7977075.0'],['0.031530388']
['15903.138'],['7817465.5'],['0.030505389']
['16600.25'],['7804619.5'],['0.030765716']
['15903.746'],['7873496.0'],['0.03055038']
['16331.431'],['8033741.5'],['0.030413458']
['15660.95'],['7907882.0'],['0.030019386']
['15657.264'],['7550844.5'],['0.029806217']
['16285.85'],['7842214.0'],['0.031318434']
['16872.654'],['8101213.0'],['0.03180728']
['17379.037'],['7532326.0'],['0.02821759']
['16734.47'],['7532326.0'],['8129089.0']
