['5521.4307'],['4711290.5'],['0.023111127']
['6556.808'],['4521202.5'],['0.022485312']
['4338.8867'],['5183662.0'],['0.024285933']
['6952.2676'],['4938519.0'],['0.023481699']
['7671.915'],['5290757.5'],['0.024087135']
['5648.804'],['4828949.0'],['0.023577876']
['5755.9907'],['4400645.5'],['0.022101324']
['4487.5225'],['4826767.5'],['0.022984104']
['5481.752'],['4801857.0'],['0.023261242']
['5413.365'],['4813993.0'],['0.023085864']
['5781.86'],['4246705.0'],['0.021989023']
['4285.32'],['4070143.2'],['0.021200605']
['3703.1863'],['4906412.0'],['0.023553936']
['4895.5894'],['5093954.5'],['0.023951538']
['5388.0757'],['4532975.0'],['0.02259245']
['5548.2046'],['4698381.5'],['0.022958487']
['5950.427'],['4680798.0'],['0.023286015']
['6403.864'],['4985582.5'],['0.023035124']
['4272.2036'],['4652595.0'],['0.023236398']
['4193.328'],['5648090.0'],['0.0256133']
['5090.3887'],['5689000.5'],['0.025472885']
['5019.369'],['5235524.0'],['0.024829578']
['5371.195'],['5900845.0'],['0.025364855']
['5670.405'],['5900845.0'],['4950506.0']
