['21522.018'],['12662960.0'],['0.056645453']
['21883.412'],['9231086.0'],['0.039099272']
['18601.105'],['9314465.0'],['0.03878375']
['20278.41'],['10397557.0'],['0.044141617']
['20961.152'],['9344235.0'],['0.0402718']
['21044.057'],['9891736.0'],['0.043711714']
['21428.637'],['8999251.0'],['0.038910314']
['21518.562'],['8726911.0'],['0.043275245']
['23368.02'],['9281466.0'],['0.042999078']
['20819.258'],['8590768.0'],['0.037426136']
['20873.44'],['9403059.0'],['0.040931847']
['18821.83'],['8634503.0'],['0.038656723']
['19837.396'],['9013810.0'],['0.040089417']
['20915.855'],['9384927.0'],['0.042097587']
['20699.898'],['8984644.0'],['0.03928718']
['20183.621'],['9302299.0'],['0.04110951']
['20230.81'],['9359059.0'],['0.040812846']
['20410.705'],['8751930.0'],['0.0387203']
['19692.428'],['9305131.0'],['0.04157842']
['19822.137'],['9474524.0'],['0.04140341']
['20709.65'],['9593839.0'],['0.04424807']
['21044.057'],['8586612.0'],['0.037688818']
['20584.504'],['9935839.0'],['0.04249534']
['20530.787'],['9935839.0'],['10505851.0']
