2017/12/4,1965,0,0.0,/0
2017/12/5,1965,0,0.0,0.0095
2017/12/6,1965,0,0.0,/0
2017/12/7,1965,0,0.0,/0
2017/12/8,1965,0,0.0,/0
2017/12/9,1965,0,0.0,/0
2017/12/10,1965,0,0.0,/0
2017/12/11,1965,0,0.0,/0
2017/12/12,1965,0,0.0,/0
2017/12/13,1965,0,0.0,/0
2017/12/14,1965,0,0.0,/0
2017/12/15,1965,0,0.0,/0
2017/12/16,1965,0,0.0,/0
2017/12/17,1965,0,0.0,/0
2017/12/18,1965,0,0.0,/0
2017/12/19,1965,0,0.0,/0
2017/12/20,1965,0,0.0,/0
2017/12/21,1965,0,0.0,/0
2017/12/22,1965,0,0.0,/0
2017/12/23,1965,0,0.0,/0
2017/12/24,1965,0,0.0,/0
2017/12/25,1965,0,0.0,/0
2017/12/26,1965,0,0.0,/0
2017/12/27,1965,0,0.0,/0
2017/12/28,1965,0,0.0,/0
2017/12/29,1965,0,0.0,/0
2017/12/30,1965,0,0.0,/0
2018/2/1,1965,25668,7549705.756,0.0375
2018/2/2,1965,25576,7467489.819,0.0363
2018/2/3,1965,34546,12301061.04,0.0475
2018/2/4,1965,38546,13149081.62,0.049
2018/2/5,1965,27739,7339975.464,0.0372
2018/2/6,1965,28186,8828932.928,0.0405
2018/2/7,1965,29427,9924295.725,0.0416
2018/2/8,1965,29326,9005418.416000001,0.0411
2018/2/9,1965,31499,15959823.24,0.0536
2018/2/10,1965,43849,11395389.08,0.0488
2018/2/11,1965,39571,11494972.11,0.0486
2018/2/12,1965,36636,11569902.46,0.046
2018/2/13,1965,34490,8085734.372,0.0392
2018/2/14,1965,37632,9188543.559,0.0408
2018/2/15,1965,21273,4162038.111,0.0262
2018/2/16,1965,19674,5291532.261,0.03
2018/2/17,1965,16564,4632206.3719999995,0.0283
2018/2/18,1965,19911,8351578.103999999,0.0368
2018/2/19,1965,17601,5089493.17,0.0304
2018/2/20,1965,19898,7193624.575,0.034
2018/2/21,1965,19475,8677422.616,0.0379
2018/2/22,1965,20111,6751478.107999999,0.0334
2018/2/23,1965,19049,8221091.308999999,0.037
2018/2/24,1965,19261,9334205.555,0.0411
2017/12/31,1965,0,0.0,/0
2018/2/28,1965,18996,6095958.653,0.0317
2018/3/31,1965,35060,11213284.79,0.0457
2018/1/1,1965,0,0.0,/0
2018/1/2,1965,0,0.0,/0
2018/1/3,1965,0,0.0,/0
2018/1/4,1965,0,0.0,/0
2018/1/5,1965,17909,14062475.43,0.0996
2018/1/6,1965,0,0.0,/0
2018/1/10,1965,13855,10452685.61,0.0994
2018/1/11,1965,0,0.0,/0
2018/1/12,1965,5270,1640829.364,0.0533
2018/1/13,1965,0,0.0,/0
2018/1/14,1965,0,0.0,/0
2018/1/15,1965,0,0.0,/0
2018/1/16,1965,0,0.0,/0
2018/1/17,1965,0,0.0,/0
2018/1/18,1965,0,0.0,/0
2018/1/19,1965.0,0.0,0.0,/0
2018/1/20,1965.0,0.0,0.0,/0
2018/1/21,1965.0,0.0,0.0,/0
2018/1/22,1965,0,0.0,/0
2018/1/23,1965,0,0.0,/0
2018/1/24,1965,0,0.0,/0
2018/1/25,1965,0,0.0,/0
2018/1/26,1965,0,0.0,/0
2018/1/27,1965,25964,6411994.244,0.0547
2018/1/28,1965,32703,9510124.475,0.0419
2018/1/29,1965,21559,7896353.522999999,0.0367
2018/1/30,1965,23071,10769691.73,0.0435
