,0
0,27150134.0
1,27658482.0
2,26187054.0
3,24679672.0
4,20683456.0
5,21315888.0
6,25001238.0
7,27990794.0
8,23411990.0
9,20868090.0
10,22006224.0
11,27291296.0
12,27388820.0
13,24629674.0
14,28118878.0
15,21225488.0
16,21101070.0
17,25185326.0
18,25876856.0
19,29092486.0
20,24774080.0
21,23119774.0
22,22050694.0
23,20660844.0
