,0
0,27150130.0
1,27658482.0
2,26187054.0
3,24679670.0
4,20683454.0
5,21315884.0
6,25001238.0
7,27990794.0
8,23411988.0
9,20868088.0
10,22006222.0
11,27291292.0
12,27388820.0
13,24629672.0
14,28118878.0
15,21225486.0
16,21101068.0
17,25185324.0
18,25876854.0
19,29092486.0
20,24774076.0
21,23119774.0
22,22050694.0
23,20660842.0
