,0
0,36190.73
1,45174.895
2,45161.37
3,35073.277
4,32537.572
5,30928.326
6,32153.006
7,36796.66
8,33853.727
9,31849.117
10,33128.1
11,35459.887
12,38974.582
13,34083.18
14,34919.164
15,30449.873
16,31820.8
17,35506.734
18,37421.02
19,38486.285
20,34256.0
21,33606.652
22,34429.09
23,33583.62
