['9979.856'],['1455948.0'],['0.011710827']
['4940.188'],['2319140.0'],['0.0147237135']
['10091.013'],['2430153.5'],['0.0147237135']
['10181.819'],['2494024.0'],['0.014634539']
['10982.821'],['2551542.5'],['0.015398152']
['7212.8066'],['2534889.8'],['0.014313593']
['5738.2007'],['2948714.0'],['0.015111468']
['9301.417'],['2553443.5'],['0.015398152']
['10799.804'],['3473734.0'],['0.016006736']
['11375.873'],['2850745.2'],['0.015235902']
['10861.618'],['2601755.5'],['0.014406709']
['8595.5625'],['2033287.8'],['0.013422669']
['4993.238'],['1654020.9'],['0.0120772235']
['3788.2766'],['1686077.6'],['0.012196606']
['6214.6665'],['2918159.2'],['0.014855407']
['11421.89'],['3023241.8'],['0.015517134']
['8160.951'],['1634990.0'],['0.012196606']
['5323.595'],['1634990.0'],['2865308.5']
