['17186.242'],['9481017.0'],['0.040998384']
['15581.61'],['5196746.5'],['0.025911372']
['15183.697'],['5971096.5'],['0.02802071']
['13180.364'],['5884405.5'],['0.02747754']
['13614.327'],['6046842.0'],['0.027893443']
['12475.033'],['5638542.0'],['0.026928376']
['12974.893'],['4604337.5'],['0.025244454']
['14084.211'],['6500180.5'],['0.028210994']
['15717.0'],['6594388.5'],['0.029089248']
['15845.937'],['6655901.5'],['0.029089248']
['17382.316'],['5301705.5'],['0.026993295']
['14003.764'],['6110803.0'],['0.027701922']
['14439.94'],['6578003.5'],['0.029676137']
['17495.0'],['6032159.0'],['0.02840054']
['16500.762'],['7447402.0'],['0.031834815']
['17711.125'],['6607248.5'],['0.02899591']
['16744.283'],['7172360.0'],['0.03028608']
['16802.742'],['6731116.5'],['0.03203926']
['15017.66'],['7935523.0'],['0.03425374']
['14686.732'],['8177394.5'],['0.03375295']
['17607.752'],['6231788.0'],['0.028432058']
['17159.195'],['5726801.0'],['0.027348867']
['17678.611'],['6225477.5'],['0.027925292']
['17685.582'],['6225477.5'],['5151024.0']
