['58077.754'],['35059830.0'],['0.10864603']
['60027.89'],['26379630.0'],['0.085714325']
['56799.277'],['24951648.0'],['0.08320685']
['57719.996'],['24557430.0'],['0.08563181']
['59126.07'],['24716828.0'],['0.08855612']
['59178.67'],['28909666.0'],['0.10464143']
['58504.062'],['26733210.0'],['0.10126059']
['59215.305'],['28455256.0'],['0.09862928']
['60230.824'],['31341278.0'],['0.11078525']
['60949.43'],['31523644.0'],['0.10392664']
['59847.188'],['27996592.0'],['0.09777806']
['58623.473'],['28391448.0'],['0.09307088']
['59487.824'],['31095394.0'],['0.105857596']
['59299.246'],['26721416.0'],['0.09053161']
['59441.03'],['29559490.0'],['0.10207149']
['59977.945'],['28030434.0'],['0.09419967']
['58797.17'],['28113600.0'],['0.09479526']
['60735.94'],['31860428.0'],['0.11379018']
['59930.316'],['32618104.0'],['0.105730675']
['60595.035'],['28540052.0'],['0.10159963']
['61143.66'],['29417486.0'],['0.10477054']
['64492.574'],['30031550.0'],['0.10547606']
['60051.477'],['31994812.0'],['0.10200429']
['59043.906'],['31994812.0'],['36272600.0']
