['49141.184'],['29111250.0'],['0.092749044']
['50179.516'],['31729422.0'],['0.09583596']
['55823.465'],['28518450.0'],['0.09216552']
['52508.67'],['27091452.0'],['0.0893924']
['54249.07'],['27377668.0'],['0.0943081']
['49195.645'],['28769508.0'],['0.09553018']
['48430.816'],['32194546.0'],['0.08743724']
['53753.215'],['30922482.0'],['0.09475037']
['49091.996'],['28333964.0'],['0.09557239']
['48754.96'],['28972262.0'],['0.096501656']
['50943.945'],['29302704.0'],['0.0965774']
['49919.05'],['28153772.0'],['0.09203487']
['49778.71'],['26716038.0'],['0.08445184']
['47823.65'],['27602222.0'],['0.082756974']
['46919.668'],['27332936.0'],['0.085110284']
['46849.062'],['29271968.0'],['0.09242086']
['49175.574'],['28590672.0'],['0.09350878']
['48341.152'],['27168246.0'],['0.0895038']
['48362.97'],['26904764.0'],['0.08852698']
['48112.367'],['25834552.0'],['0.08042201']
['46907.043'],['24491032.0'],['0.06770186']
['45413.746'],['23860414.0'],['0.06344787']
['47221.367'],['23815360.0'],['0.06186748']
['49528.734'],['23815360.0'],['26210904.0']
