['227351.78'],['116342160.0'],['0.41610894']
['218382.22'],['77443170.0'],['0.41421404']
['190819.8'],['98955160.0'],['0.44742307']
['181990.72'],['92068190.0'],['0.4394397']
['203827.42'],['92640360.0'],['0.42435575']
['187279.75'],['88006900.0'],['0.38984817']
['182011.97'],['87806470.0'],['0.41567904']
['181411.94'],['80234100.0'],['0.39412925']
['190796.38'],['91944810.0'],['0.3858944']
['194795.28'],['80525270.0'],['0.35277405']
['193954.5'],['79751400.0'],['0.38975662']
['180281.95'],['81670310.0'],['0.35455495']
['162074.38'],['84439096.0'],['0.32622758']
['167534.7'],['94332856.0'],['0.40380672']
['178726.64'],['82802424.0'],['0.35652617']
['188947.62'],['81183464.0'],['0.38003728']
['187576.48'],['85569480.0'],['0.3457876']
['180134.38'],['85569480.0'],['61015464.0']
