['10145.459'],['6963504.0'],['0.032166973']
['7895.555'],['8357683.5'],['0.038413726']
['7871.1973'],['6839541.0'],['0.035429973']
['8228.531'],['7003453.0'],['0.03682092']
['7827.001'],['6939746.5'],['0.030424071']
['6374.189'],['7113477.5'],['0.029943304']
['3992.202'],['6762659.0'],['0.031552006']
['8228.531'],['6978312.5'],['0.032891348']
['7967.1187'],['6629397.0'],['0.031904142']
['8303.2295'],['6688378.5'],['0.031375207']
['8412.749'],['7723239.5'],['0.033321947']
['7936.954'],['6499904.0'],['0.029519778']
['5701.4688'],['8034556.0'],['0.031904142']
['4632.009'],['7890942.5'],['0.03263154']
['8488.546'],['8001796.5'],['0.03363581']
['10413.59'],['7397845.0'],['0.033035215']
['10537.984'],['7400284.0'],['0.034258693']
['10743.022'],['7400284.0'],['7932845.5']
