['11507.123'],['14070440.0'],['0.05662238']
['21537.543'],['4361821.0'],['0.018621655']
['9321.106'],['5461667.0'],['0.022210095']
['12957.817'],['6498002.5'],['0.02570492']
['13029.367'],['6850492.0'],['0.026152665']
['14281.413'],['7353221.0'],['0.030357638']
['13770.185'],['7908886.5'],['0.030178852']
['12084.642'],['5504985.5'],['0.02149271']
['11959.965'],['9893392.0'],['0.03214473']
['12970.058'],['5665876.0'],['0.02767443']
['12697.828'],['7935936.0'],['0.029642412']
['10667.81'],['5715928.0'],['0.02391322']
['10021.247'],['7487884.5'],['0.02731645']
['14759.878'],['6775686.5'],['0.025436237']
['15345.782'],['9281980.0'],['0.033573363']
['13607.708'],['7129188.0'],['0.02740595']
['14084.539'],['9315607.0'],['0.031519413']
['12924.859'],['6347658.5'],['0.022210095']
['8394.395'],['5844003.0'],['0.02436125']
['7493.191'],['7068102.0'],['0.025436237']
['14152.055'],['8246201.0'],['0.026958413']
['13019.954'],['8336119.5'],['0.029463569']
['12331.952'],['5836172.0'],['0.023375496']
['9651.373'],['5836172.0'],['5190233.0']
