['1868.6432'],['862804.44'],['0.010978489']
['995.2947'],['1432294.9'],['0.012267342']
['2302.905'],['897107.7'],['0.011374386']
['2556.886'],['911021.7'],['0.011264645']
['2056.3962'],['899789.6'],['0.011110709']
['1171.9799'],['1149052.1'],['0.012137449']
['1257.4612'],['1311606.1'],['0.013338895']
['2547.2913'],['1197083.2'],['0.012569353']
['2574.016'],['931314.3'],['0.011549594']
['2608.949'],['1003411.4'],['0.011898608']
['2368.1956'],['1122688.1'],['0.012633872']
['2374.3787'],['1057656.6'],['0.012007285']
['1574.5576'],['1405819.9'],['0.013614222']
['2381.9346'],['1523296.2'],['0.014265119']
['2819.5505'],['1507518.4'],['0.01432768']
['3424.935'],['1297295.1'],['0.013381342']
['3416.1462'],['1010281.2'],['0.01220243']
['4186.573'],['1010281.2'],['813832.44']
