['3390.0068'],['2059609.4'],['0.019613793']
['3793.8135'],['2108989.8'],['0.019559605']
['2367.8125'],['2240851.2'],['0.019275773']
['3532.2332'],['2377740.2'],['0.020063626']
['3716.1812'],['2375224.0'],['0.020012809']
['3945.1243'],['2281537.0'],['0.019461455']
['3570.3284'],['2278670.8'],['0.019014878']
['2967.9016'],['1117637.6'],['0.017603373']
['4117.514'],['1578853.5'],['0.018835647']
['4121.538'],['1577842.4'],['0.020062273']
['4056.7922'],['2381181.2'],['0.019061334']
['3502.3'],['2240090.2'],['0.01998149']
['3238.296'],['2332634.0'],['0.02003652']
['3991.549'],['2335025.8'],['0.019927468']
['3772.8945'],['1608479.0'],['0.019699134']
['3847.2021'],['1832167.2'],['0.018803008']
['3918.0625'],['2380857.2'],['0.020012809']
['3716.6482'],['2362578.0'],['0.018816799']
['3163.862'],['2338051.8'],['0.017564299']
['3150.9382'],['2359237.5'],['0.019648151']
['3844.9824'],['2351339.2'],['0.019527968']
['3464.5027'],['2356170.8'],['0.019014878']
['3615.4604'],['2358659.8'],['0.019014878']
['3700.584'],['2358659.8'],['2169128.2']
