['27460.623'],['110155450.0'],['0.49695352']
['36017.44'],['23338996.0'],['0.052658558']
['19336.91'],['27011620.0'],['0.072871245']
['19370.53'],['55154924.0'],['0.18320198']
['21361.467'],['68779864.0'],['0.25834465']
['24499.121'],['60027810.0'],['0.19545653']
['22919.23'],['54369840.0'],['0.18612447']
['21029.07'],['76756460.0'],['0.25972766']
['24498.016'],['65437468.0'],['0.23589836']
['24033.871'],['62223252.0'],['0.20694107']
['23462.842'],['12085308.0'],['0.03141837']
['19732.64'],['22676898.0'],['0.110982694']
['18790.332'],['36074020.0'],['0.15302633']
['22140.67'],['38765596.0'],['0.15162542']
['22326.418'],['19927518.0'],['0.067511685']
['22335.45'],['19787464.0'],['0.07491054']
['22016.258'],['12550954.0'],['0.031087214']
['20821.072'],['16384955.0'],['0.053303238']
['19425.838'],['22231924.0'],['0.08301281']
['19734.402'],['14555721.0'],['0.03636967']
['19654.908'],['18946820.0'],['0.05217469']
['20063.002'],['25145972.0'],['0.07381314']
['23973.322'],['30061424.0'],['0.08533374']
['30214.314'],['30061424.0'],['31141182.0']
