['336.0028'],['278465.3'],['0.008672972']
['389.84595'],['1557188.6'],['0.010607722']
['637.1697'],['426407.66'],['0.009165302']
['925.2417'],['1570614.5'],['0.010895152']
['898.87756'],['690702.9'],['0.009596348']
['913.49713'],['691817.56'],['0.009675543']
['817.5479'],['1504389.1'],['0.010741439']
['645.1846'],['980741.94'],['0.010038103']
['926.7129'],['1636023.0'],['0.010929362']
['980.12866'],['836166.44'],['0.009596348']
['882.87445'],['1267251.4'],['0.010289811']
['859.7433'],['1064434.5'],['0.009596348']
['453.0039'],['709.23303'],['0.009815421']
['866.23145'],['704775.9'],['0.009514855']
['743.20294'],['279843.03'],['0.00887751']
['857.58374'],['1658570.1'],['0.011185446']
['659.2671'],['839733.6'],['0.009899643']
['858.30347'],['1610808.9'],['0.011312054']
['974.89655'],['1386724.9'],['0.010229963']
['788.5697'],['1615840.4'],['0.011247378']
['591.53784'],['548841.9'],['0.009256289']
['317.74393'],['1318139.8'],['0.010457423']
['446.79953'],['385399.4'],['0.0089759445']
['684.933'],['385399.4'],['1632651.4']
