['718.0012'],['856887.1'],['0.009812169']
['553.96027'],['1128204.5'],['0.010506409']
['736.4643'],['2125532.0'],['0.011924908']
['928.5536'],['1684262.0'],['0.0113214245']
['931.7159'],['1485806.4'],['0.011291243']
['1242.581'],['1916671.9'],['0.011955072']
['1138.1094'],['1081958.0'],['0.010264914']
['1019.5269'],['1507897.9'],['0.011713725']
['1424.7145'],['1142423.5'],['0.010355473']
['1108.9015'],['1254427.4'],['0.010989403']
['1185.5007'],['2722870.2'],['0.013100351']
['852.2664'],['1318632.0'],['0.010868657']
['911.63525'],['2255638.5'],['0.0133712385']
['897.8242'],['1141876.4'],['0.010657347']
['1153.83'],['1150212.6'],['0.0104158465']
['922.74774'],['3336550.0'],['0.014602826']
['1035.8805'],['1543906.2'],['0.011743897']
['1181.6216'],['2644894.8'],['0.0140026035']
['955.8585'],['3307774.2'],['0.014842579']
['720.2443'],['1242033.8'],['0.010476222']
['992.76715'],['1444085.6'],['0.010989403']
['965.7776'],['1683891.1'],['0.011924908']
['1099.4337'],['2996150.0'],['0.013762209']
['1020.0393'],['2996150.0'],['836814.44']
