['49174.055'],['30391872.0'],['0.09014338']
['48987.004'],['27118476.0'],['0.09471159']
['45621.742'],['27161230.0'],['0.09192321']
['41771.11'],['22184518.0'],['0.08213561']
['42187.234'],['27672606.0'],['0.09330032']
['41965.684'],['28827170.0'],['0.095249824']
['44752.625'],['30185662.0'],['0.094698854']
['46453.656'],['30795854.0'],['0.09601297']
['48781.4'],['30015410.0'],['0.096583046']
['43359.836'],['32523730.0'],['0.09173705']
['46590.117'],['31330606.0'],['0.09639332']
['46946.95'],['31193150.0'],['0.09623744']
['47609.816'],['29316062.0'],['0.09587176']
['48267.96'],['30702410.0'],['0.09542422']
['52163.77'],['30553278.0'],['0.096429944']
['48803.805'],['30769462.0'],['0.09656622']
['50241.875'],['32055274.0'],['0.09656622']
['51751.84'],['31212408.0'],['0.09585299']
['49928.72'],['28122422.0'],['0.093584664']
['44999.188'],['27286966.0'],['0.08935925']
['46466.867'],['28634998.0'],['0.09113618']
['46695.812'],['23930850.0'],['0.08213561']
['49590.074'],['25776008.0'],['0.08250763']
['46860.727'],['25776008.0'],['31756896.0']
