['7119.839'],['7111646.0'],['0.018002277']
['25913.1'],['2696823.5'],['0.020184554']
['6434.0195'],['2944325.2'],['0.020465037']
['5631.944'],['3850707.2'],['0.020718122']
['6491.5'],['3082885.0'],['0.020404616']
['6403.0063'],['3347775.8'],['0.020465037']
['6247.806'],['3708673.2'],['0.020746322']
['6697.9185'],['3531326.8'],['0.020728061']
['6260.7485'],['3177952.8'],['0.02069321']
['6607.0146'],['3412752.8'],['0.020746779']
['6287.9204'],['937325.94'],['0.012357583']
['1551.7388'],['783354.06'],['0.010497719']
['1261.4298'],['3193680.5'],['0.020609342']
['6411.4067'],['3173481.2'],['0.020581042']
['6360.995'],['2119599.0'],['0.020746028']
['3527.768'],['3639518.0'],['0.02073427']
['6004.8613'],['3147964.5'],['0.020622056']
['6296.9766'],['3342251.8'],['0.02056727']
['6076.1816'],['1891695.9'],['0.017451085']
['4638.304'],['2742797.2'],['0.020264504']
['5589.635'],['3277905.0'],['0.020581955']
['7362.843'],['3212288.0'],['0.020483784']
['6894.936'],['3234052.2'],['0.02073427']
['7080.0337'],['3234052.2'],['3316231.2']
