['30010.416'],['12042275.0'],['0.04318636']
['30980.434'],['12004382.0'],['0.04302946']
['30267.62'],['9605944.0'],['0.033922672']
['30104.553'],['13631895.0'],['0.03764807']
['29911.127'],['13901013.0'],['0.038906362']
['29942.691'],['9983018.0'],['0.036626197']
['29806.98'],['15809802.0'],['0.047510266']
['30019.623'],['8814234.0'],['0.03679746']
['30297.314'],['6579500.5'],['0.028232401']
['30177.326'],['10864752.0'],['0.037985675']
['29942.232'],['9544262.0'],['0.036023792']
['30268.324'],['11520095.0'],['0.044659175']
['30105.787'],['13146691.0'],['0.04302946']
['30009.572'],['10355356.0'],['0.038823128']
['30044.059'],['12199914.0'],['0.041601263']
['30191.225'],['14418645.0'],['0.042556632']
['30379.893'],['15029288.0'],['0.04773007']
['30162.666'],['15606254.0'],['0.047289696']
['30414.44'],['13661935.0'],['0.04496519']
['30287.385'],['13580538.0'],['0.046994403']
['30047.596'],['18581356.0'],['0.056043204']
['30092.896'],['9674484.0'],['0.037563436']
['30022.926'],['11109166.0'],['0.040470175']
['30300.365'],['11109166.0'],['9619722.0']
