['13561.025'],['27741846.0'],['0.04771573']
['13123.187'],['23523716.0'],['0.04175514']
['12642.367'],['14880157.0'],['0.029865172']
['10794.838'],['14075476.0'],['0.028825145']
['11905.461'],['16115212.0'],['0.033894807']
['11180.062'],['19996208.0'],['0.03857797']
['12256.666'],['21156220.0'],['0.03852049']
['13166.28'],['19243124.0'],['0.03564914']
['12571.207'],['17979684.0'],['0.03482461']
['12138.797'],['21380332.0'],['0.038053226']
['12349.145'],['20689856.0'],['0.038346812']
['13958.065'],['24435478.0'],['0.043269616']
['14304.895'],['21591338.0'],['0.03817128']
['12656.927'],['20778162.0'],['0.03852049']
['13623.615'],['22636766.0'],['0.040762257']
['12694.581'],['25451404.0'],['0.04215559']
['11416.861'],['29239112.0'],['0.047171965']
['12790.257'],['21006262.0'],['0.03869232']
['13267.476'],['24883938.0'],['0.04270811']
['13631.954'],['17587718.0'],['0.032620247']
['11958.694'],['19269292.0'],['0.036246635']
['11998.791'],['18571676.0'],['0.035581652']
['10815.489'],['19094328.0'],['0.035513937']
['10444.906'],['19094328.0'],['27599060.0']
