['67911.05'],['54777836.0'],['0.19139285']
['84186.945'],['55886416.0'],['0.22862498']
['89000.45'],['51401404.0'],['0.20623825']
['95885.76'],['55765816.0'],['0.22511755']
['95535.37'],['58725780.0'],['0.24299519']
['102814.32'],['60562456.0'],['0.25005147']
['100962.16'],['57101036.0'],['0.22940914']
['98180.734'],['46787804.0'],['0.19089282']
['90832.51'],['40471668.0'],['0.17363124']
['84030.05'],['40259590.0'],['0.1754788']
['89322.61'],['27779144.0'],['0.13679452']
['81075.79'],['25737224.0'],['0.1173062']
['88890.37'],['33970840.0'],['0.15175053']
['85909.53'],['41645276.0'],['0.1776319']
['98322.55'],['40948256.0'],['0.1672061']
['86706.04'],['47303428.0'],['0.17341281']
['93535.305'],['41062860.0'],['0.17099544']
['87259.05'],['31482384.0'],['0.12918524']
['86911.72'],['30524826.0'],['0.12283892']
['82204.31'],['31370932.0'],['0.11635122']
['80380.94'],['30815064.0'],['0.11580415']
['85816.625'],['30728382.0'],['0.1153932']
['86936.984'],['23367602.0'],['0.09206775']
['70810.555'],['23367602.0'],['16124063.0']
