['13140.044'],['14854041.0'],['0.030341579']
['14867.359'],['14741801.0'],['0.030994497']
['14275.198'],['11361828.0'],['0.027464375']
['14290.36'],['10696706.0'],['0.026594196']
['13499.043'],['14846820.0'],['0.03212902']
['14936.116'],['18642842.0'],['0.035908066']
['15205.383'],['11707581.0'],['0.026434142']
['12648.214'],['9529036.0'],['0.024718888']
['13855.299'],['14619225.0'],['0.03056041']
['12453.884'],['14752777.0'],['0.02915413']
['12717.022'],['14005824.0'],['0.028851856']
['12552.89'],['22759336.0'],['0.041468635']
['13878.985'],['13852360.0'],['0.0304876']
['13124.605'],['11704263.0'],['0.026514243']
['11776.198'],['11942183.0'],['0.02675368']
['12266.454'],['13831816.0'],['0.029752165']
['12820.156'],['11078085.0'],['0.025706826']
['11408.299'],['11078085.0'],['27029442.0']
