['51748.72'],['23165542.0'],['0.07421366']
['43281.69'],['30510502.0'],['0.108993955']
['51686.758'],['29441116.0'],['0.10314258']
['50267.887'],['30681302.0'],['0.09695986']
['50032.5'],['24184078.0'],['0.07890747']
['42369.08'],['20909538.0'],['0.06862122']
['42331.098'],['27759900.0'],['0.084071554']
['52033.547'],['25057664.0'],['0.07846082']
['51879.645'],['25271302.0'],['0.07927845']
['51327.902'],['28082270.0'],['0.08922107']
['50399.996'],['23563626.0'],['0.07274008']
['49539.16'],['22342394.0'],['0.06295775']
['42551.527'],['22308218.0'],['0.06829912']
['42756.555'],['26354670.0'],['0.07913019']
['52254.043'],['26498850.0'],['0.083214305']
['50975.69'],['26820686.0'],['0.080164224']
['49307.89'],['24520560.0'],['0.06708446']
['49162.246'],['24520560.0'],['25352546.0']
