['19658.93'],['13197625.0'],['0.060191154']
['21373.508'],['12760515.0'],['0.041637022']
['40866.645'],['12010954.0'],['0.041982733']
['36200.434'],['12428910.0'],['0.04115155']
['28770.15'],['10013321.0'],['0.035046153']
['35132.78'],['11846031.0'],['0.040594615']
['44413.082'],['11107678.0'],['0.038486026']
['40346.12'],['14382571.0'],['0.041913655']
['39970.18'],['15209549.0'],['0.04485203']
['49614.12'],['11267459.0'],['0.03656112']
['36550.523'],['11584533.0'],['0.038486026']
['30100.848'],['14084750.0'],['0.0458618']
['49807.996'],['10631917.0'],['0.039684787']
['38176.164'],['7538504.5'],['0.032117274']
['18320.611'],['7517158.5'],['0.031673048']
['18038.041'],['7792964.0'],['0.03092983']
['25456.877'],['7358990.0'],['0.032412715']
['18957.662'],['9521727.0'],['0.039754983']
['19484.492'],['9450502.0'],['0.041775413']
['23577.92'],['9516152.0'],['0.04539155']
['20921.867'],['11439607.0'],['0.04532424']
['18528.477'],['9370378.0'],['0.040175434']
['16340.042'],['11407358.0'],['0.06644814']
['20064.295'],['11407358.0'],['9369416.0']
