['25261.379'],['20029682.0'],['0.060388263']
['30578.006'],['13351334.0'],['0.048293214']
['20660.695'],['19995718.0'],['0.060785152']
['28031.812'],['23547540.0'],['0.0713726']
['28984.502'],['22615894.0'],['0.07362179']
['29804.814'],['21918266.0'],['0.0674697']
['28433.373'],['22513116.0'],['0.06752552']
['28089.568'],['26078228.0'],['0.083346546']
['30780.281'],['22719616.0'],['0.064687856']
['29413.754'],['22198804.0'],['0.06889302']
['30082.148'],['24931146.0'],['0.070567004']
['30543.51'],['17410938.0'],['0.05200827']
['21844.854'],['22081254.0'],['0.0637148']
['28855.998'],['22748714.0'],['0.0655203']
['30572.564'],['24593212.0'],['0.07325106']
['29477.266'],['22656342.0'],['0.063653216']
['28302.662'],['20358282.0'],['0.060054854']
['29107.832'],['16818708.0'],['0.053628117']
['25610.016'],['18714416.0'],['0.060587138']
['21625.855'],['18643418.0'],['0.06321949']
['26420.861'],['18132312.0'],['0.062655196']
['27069.854'],['18869094.0'],['0.059108403']
['30702.24'],['20101690.0'],['0.062083326']
['28946.283'],['20101690.0'],['18455478.0']
