['26621.094'],['33810148.0'],['0.10413169']
['43282.297'],['19366000.0'],['0.06821898']
['17088.883'],['16790072.0'],['0.06398494']
['22854.078'],['17884252.0'],['0.061599236']
['26597.57'],['20073046.0'],['0.070215']
['24813.691'],['18694534.0'],['0.0668005']
['24691.404'],['20031700.0'],['0.070641205']
['25309.953'],['21518782.0'],['0.07027612']
['24864.105'],['21739188.0'],['0.069101945']
['28345.3'],['17599962.0'],['0.06357095']
['25757.305'],['20878276.0'],['0.06941362']
['25961.248'],['23332442.0'],['0.07617714']
['22773.975'],['19405814.0'],['0.069908306']
['24224.045'],['22098322.0'],['0.07136326']
['24923.89'],['22355116.0'],['0.07039812']
['28108.818'],['24993832.0'],['0.07655083']
['26426.023'],['18726832.0'],['0.061023712']
['25730.197'],['20153956.0'],['0.070883095']
['24454.121'],['18227152.0'],['0.059929803']
['20742.666'],['14780938.0'],['0.05511921']
['21454.434'],['18583812.0'],['0.0602966']
['23901.277'],['17696526.0'],['0.058516122']
['26328.348'],['22296254.0'],['0.06620917']
['26955.72'],['22296254.0'],['25792748.0']
