['3260.4158'],['1553744.2'],['0.016134424']
['2965.6199'],['1599458.4'],['0.016043592']
['4068.831'],['1444627.2'],['0.01629593']
['3728.462'],['1662214.6'],['0.016245786']
['2869.5232'],['1853260.5'],['0.01563945']
['2690.845'],['1611235.0'],['0.016143676']
['2391.7898'],['1457640.6'],['0.016340002']
['3125.909'],['1021271.25'],['0.016608175']
['3659.4094'],['1411665.2'],['0.016275298']
['3147.906'],['1695163.6'],['0.015937017']
['2584.4995'],['1460590.9'],['0.016139057']
['2704.103'],['1154085.2'],['0.016481563']
['3216.482'],['1584529.4'],['0.016033722']
['3580.4023'],['1760833.2'],['0.015988575']
['2102.087'],['1627342.6'],['0.016291834']
['2098.5005'],['1696564.0'],['0.016068012']
['2563.7114'],['1626369.4'],['0.016082488']
['2636.1274'],['1626369.4'],['1567180.4']
