['8521.51'],['4960439.5'],['0.050202973']
['18375.17'],['3748431.5'],['0.023876963']
['5988.058'],['6014672.5'],['0.031584453']
['11388.058'],['5650926.0'],['0.032212675']
['12034.867'],['6073471.5'],['0.035569914']
['12281.6455'],['6066729.5'],['0.03642214']
['12066.607'],['3966996.8'],['0.025880324']
['8357.225'],['5926747.5'],['0.034288593']
['12686.155'],['5545334.5'],['0.031584453']
['12160.942'],['5913853.5'],['0.034841467']
['12714.516'],['5140229.0'],['0.029708374']
['6148.037'],['5082768.5'],['0.03015811']
['5020.7817'],['5638129.5'],['0.032308716']
['11385.183'],['6073325.5'],['0.038171638']
['11533.009'],['5953305.5'],['0.03216459']
['12049.684'],['6066218.0'],['0.035161383']
['11683.77'],['5720671.5'],['0.03094934']
['9801.507'],['5065088.5'],['0.029708374']
['5698.769'],['4067755.5'],['0.028696809']
['5705.4224'],['6022192.0'],['0.035161383']
['9242.815'],['5074431.0'],['0.029958647']
['8982.636'],['4920356.5'],['0.029204696']
['8974.188'],['5115496.0'],['0.03094934']
['8938.844'],['5115496.0'],['5695824.0']
