['39153.367'],['16041487.0'],['0.06354842']
['24686.004'],['15423382.0'],['0.06365638']
['21775.957'],['18675284.0'],['0.08007205']
['42147.05'],['18167624.0'],['0.08257701']
['35078.89'],['18149528.0'],['0.074982576']
['33870.87'],['17922292.0'],['0.07691215']
['33538.094'],['14600414.0'],['0.06782413']
['22970.385'],['17042376.0'],['0.070524655']
['34889.69'],['16765474.0'],['0.07039309']
['33906.625'],['18354228.0'],['0.0721806']
['34222.73'],['16201973.0'],['0.06963609']
['22033.04'],['14300529.0'],['0.059690367']
['21966.53'],['17608302.0'],['0.069455124']
['38323.457'],['17493552.0'],['0.062004346']
['36807.37'],['19278882.0'],['0.067776255']
['34566.492'],['18709098.0'],['0.071639724']
['36532.32'],['17875802.0'],['0.06289418']
['34838.004'],['12778675.0'],['0.050808556']
['22570.262'],['13977578.0'],['0.05486117']
['22588.928'],['16142268.0'],['0.059868425']
['34692.91'],['18346090.0'],['0.071258806']
['35717.47'],['16485155.0'],['0.0618917']
['34482.527'],['17174708.0'],['0.06630685']
['34344.88'],['17174708.0'],['20011800.0']
