['37558.07'],['31477046.0'],['0.19214278']
['36981.504'],['30380458.0'],['0.17918034']
['38395.164'],['30135758.0'],['0.17688876']
['37143.836'],['31130532.0'],['0.18988162']
['38470.37'],['29414818.0'],['0.18261798']
['34541.254'],['29892408.0'],['0.18275495']
['32267.559'],['29441630.0'],['0.16774157']
['34737.797'],['28530452.0'],['0.16364494']
['35188.914'],['29068812.0'],['0.17027721']
['36647.914'],['30007698.0'],['0.18054116']
['34433.56'],['29269206.0'],['0.18119179']
['35328.133'],['28751590.0'],['0.17355719']
['33644.113'],['29709346.0'],['0.18536681']
['33242.164'],['30335806.0'],['0.17913309']
['36183.547'],['30412406.0'],['0.17591932']
['34829.465'],['29892448.0'],['0.18188436']
['38333.35'],['30252576.0'],['0.18932888']
['36615.137'],['30252576.0'],['28373324.0']
