['25072.709'],['7930258.5'],['0.027076472']
['33711.73'],['7851439.0'],['0.02771046']
['33695.74'],['6444293.5'],['0.025084382']
['23826.527'],['6723560.0'],['0.025377922']
['24148.182'],['6699625.5'],['0.025925875']
['23524.053'],['6640010.0'],['0.026869658']
['25440.537'],['7579047.0'],['0.028821109']
['31923.752'],['7134290.0'],['0.02882974']
['25136.834'],['6755161.5'],['0.02648127']
['22804.723'],['7055109.5'],['0.027659703']
['26249.902'],['7505691.0'],['0.0288783']
['31028.342'],['7015655.0'],['0.028515326']
['30388.25'],['6750378.5'],['0.026652332']
['25846.832'],['6810982.0'],['0.028026897']
['25984.49'],['6734646.0'],['0.027268028']
['26290.592'],['6928823.5'],['0.02777727']
['26267.443'],['6866408.0'],['0.028213864']
['27223.553'],['7042398.0'],['0.028695341']
['31313.662'],['7182920.0'],['0.028874617']
['30867.676'],['6973841.5'],['0.027888456']
['24721.887'],['6698358.0'],['0.027815038']
['25384.469'],['7124203.5'],['0.028059771']
['26829.977'],['7082730.5'],['0.028270753']
['26197.127'],['7082730.5'],['7180197.0']
