['7711.828'],['3661564.8'],['0.030130979']
['16997.975'],['5708742.5'],['0.027537895']
['12562.425'],['3161384.5'],['0.029842924']
['15227.015'],['5962485.0'],['0.027374702']
['15215.757'],['3268887.8'],['0.031620868']
['14904.076'],['3743070.5'],['0.031800944']
['16300.617'],['5627737.5'],['0.032060947']
['14631.51'],['4407114.0'],['0.030130979']
['15060.906'],['4450520.5'],['0.032060947']
['17711.553'],['2997225.5'],['0.03173056']
['15330.189'],['5533876.0'],['0.029476607']
['14791.325'],['4415252.5'],['0.028603619']
['11545.471'],['5696713.0'],['0.022818247']
['12744.238'],['4411034.0'],['0.028745117']
['11151.002'],['5961331.0'],['0.028087374']
['11893.962'],['5187513.5'],['0.02785599']
['13472.314'],['5680652.0'],['0.02558673']
['11594.869'],['4453598.0'],['0.0212352']
['11282.221'],['4437526.5'],['0.022701293']
['10679.97'],['2603386.2'],['0.020589639']
['11585.37'],['4720886.0'],['0.023503372']
['13515.755'],['5816758.0'],['0.02372548']
['12897.5625'],['5678040.0'],['0.024160398']
['13371.246'],['5678040.0'],['1017202.9']
