['23726.633'],['6568532.0'],['0.025038382']
['22080.064'],['7615346.0'],['0.025990993']
['19336.2'],['6127482.5'],['0.022959601']
['18206.639'],['6530370.5'],['0.023107648']
['19992.373'],['7245406.5'],['0.027168768']
['19070.34'],['8485022.0'],['0.029195936']
['16981.236'],['7264679.0'],['0.025722126']
['18647.217'],['5231126.5'],['0.020252332']
['18849.623'],['6707984.5'],['0.023692813']
['19024.465'],['5574123.0'],['0.020413091']
['18998.66'],['5361387.0'],['0.01960178']
['20120.91'],['4540731.0'],['0.01714039']
['15065.86'],['6199772.5'],['0.021749621']
['13689.674'],['6298706.5'],['0.023328394']
['14590.927'],['5910766.0'],['0.021205723']
['14163.801'],['4975421.5'],['0.019105894']
['14640.729'],['4512894.5'],['0.016876329']
['14900.236'],['4512894.5'],['6454223.0']
