['5575.6304'],['3118736.2'],['0.013003455']
['6383.8633'],['3639560.0'],['0.013309429']
['4652.3853'],['2642474.2'],['0.011618751']
['4444.4146'],['1757901.1'],['0.009833347']
['5420.2373'],['2267636.5'],['0.0112302005']
['6647.558'],['2551643.5'],['0.011747227']
['7267.684'],['2585552.2'],['0.011875183']
['5862.012'],['2982633.5'],['0.012381818']
['5673.7163'],['2706817.8'],['0.01181127']
['5797.5063'],['3651739.0'],['0.013430919']
['6293.0547'],['2166474.8'],['0.0108369645']
['6538.1616'],['2236654.2'],['0.010968564']
['6453.1704'],['4238606.0'],['0.014149049']
['6096.281'],['2983851.5'],['0.012381818']
['2210.6895'],['2089697.0'],['0.0109028295']
['3619.3552'],['2318838.8'],['0.011618751']
['5192.178'],['2434203.5'],['0.012192804']
['5562.8745'],['2434203.5'],['3893705.2']
