['11225.065'],['28427742.0'],['0.24484357']
['22909.986'],['16425178.0'],['0.09483283']
['14434.646'],['14438821.0'],['0.0798164']
['14198.461'],['12143945.0'],['0.058855955']
['13521.816'],['11567046.0'],['0.066674545']
['13213.882'],['13570490.0'],['0.06931758']
['13516.479'],['13171309.0'],['0.074563116']
['14427.665'],['13740818.0'],['0.07169724']
['13948.726'],['11837576.0'],['0.06243015']
['13764.972'],['12808885.0'],['0.06711599']
['15284.357'],['15396261.0'],['0.083064295']
['13289.039'],['18714560.0'],['0.097627066']
['14318.454'],['13798578.0'],['0.07636158']
['14251.927'],['17753082.0'],['0.0870793']
['15740.966'],['19875270.0'],['0.12261221']
['14778.872'],['18330998.0'],['0.103693746']
['14917.218'],['19966428.0'],['0.11336563']
['13751.693'],['22394026.0'],['0.13967998']
['13329.254'],['15403206.0'],['0.09046039']
['13791.519'],['14641444.0'],['0.081105836']
['13075.788'],['13420471.0'],['0.07913964']
['12352.069'],['14052912.0'],['0.07815364']
['13368.542'],['15062530.0'],['0.0798164']
['13789.749'],['15062530.0'],['21838836.0']
